timestamp,user_id,post_id,action,target
2021-10-20 11:08:10,94042,2218,view,0
2021-10-20 11:08:25,94042,4818,view,0
2021-10-20 11:09:24,94042,2509,view,0
2021-10-20 11:11:44,94042,1582,view,0
2021-10-20 11:13:55,94042,4606,view,0
2021-10-23 17:35:35,94042,7067,view,0
2021-10-23 17:38:10,94042,2607,view,0
2021-10-23 17:38:41,94042,2604,view,0
2021-10-23 17:40:34,94042,6346,view,0
2021-10-23 17:42:38,94042,2378,view,0
2021-10-23 17:43:01,94042,1415,view,0
2021-10-23 17:45:06,94042,2975,view,1
2021-10-23 17:45:44,94042,2975,like,0
2021-10-23 17:45:46,94042,642,view,0
2021-10-23 17:48:12,94042,1362,view,0
2021-10-23 17:51:08,94042,1830,view,0
2021-10-23 17:53:39,94042,5421,view,0
2021-10-23 17:55:01,94042,1585,view,0
2021-10-23 17:56:17,94042,4722,view,0
2021-10-23 17:58:20,94042,2321,view,1
2021-10-23 17:59:19,94042,2321,like,0
2021-10-23 17:59:21,94042,6249,view,0
2021-10-23 17:59:51,94042,1118,view,0
2021-10-23 18:02:21,94042,1382,view,0
2021-10-23 18:04:01,94042,5617,view,0
2021-10-23 18:04:14,94042,5466,view,0
2021-10-23 18:04:44,94042,3501,view,0
2021-10-23 18:05:01,94042,6366,view,0
2021-10-23 18:05:11,94042,2551,view,0
2021-10-23 18:07:58,94042,5795,view,0
2021-10-23 18:08:12,94042,2621,view,0
2021-10-23 18:09:46,94042,6680,view,0
2021-10-23 18:10:02,94042,290,view,0
2021-10-23 18:10:28,94042,3482,view,0
2021-10-23 18:12:15,94042,6641,view,0
2021-10-23 18:13:33,94042,718,view,0
2021-10-23 18:14:58,94042,5254,view,0
2021-10-23 18:15:46,94042,2183,view,0
2021-10-23 18:18:03,94042,5038,view,0
2021-10-23 18:18:48,94042,4603,view,0
2021-10-23 18:21:20,94042,1841,view,0
2021-10-23 18:23:15,94042,5463,view,0
2021-10-26 07:41:19,94042,3639,view,1
2021-10-26 07:41:46,94042,3639,like,0
2021-10-26 07:41:48,94042,1694,view,0
2021-10-26 07:44:11,94042,2728,view,1
2021-10-26 07:44:28,94042,2728,like,0
2021-10-26 07:44:30,94042,3070,view,0
2021-10-26 07:44:43,94042,4395,view,0
2021-10-26 07:45:53,94042,5272,view,0
2021-10-26 07:48:18,94042,4887,view,0
2021-10-26 07:48:50,94042,5352,view,0
2021-10-26 07:49:00,94042,1792,view,0
2021-10-26 07:51:12,94042,7237,view,1
2021-10-26 07:53:38,94042,7237,like,0
2021-10-26 07:53:40,94042,7214,view,0
2021-10-26 07:55:47,94042,4220,view,0
2021-10-26 07:58:44,94042,4272,view,0
2021-10-26 08:00:18,94042,6842,view,0
2021-10-26 08:02:25,94042,2551,view,0
2021-10-26 08:04:25,94042,1991,view,0
2021-10-26 08:05:24,94042,6820,view,0
2021-10-26 08:06:34,94042,3673,view,0
2021-10-26 08:07:45,94042,4971,view,0
2021-10-26 08:08:37,94042,927,view,0
2021-10-26 08:10:02,94042,1315,view,0
2021-10-26 08:11:13,94042,630,view,0
2021-10-26 08:12:29,94042,6671,view,0
2021-10-26 08:14:40,94042,5240,view,0
2021-10-26 08:15:36,94042,4766,view,0
2021-10-28 11:57:51,94042,6059,view,0
2021-10-28 11:58:23,94042,3394,view,0
2021-10-28 12:00:41,94042,1789,view,0
2021-10-28 12:01:44,94042,1834,view,0
2021-10-28 12:03:36,94042,6190,view,0
2021-10-28 12:05:40,94042,5307,view,0
2021-10-28 12:06:58,94042,6793,view,0
2021-10-28 12:07:12,94042,5425,view,0
2021-10-28 12:07:35,94042,1576,view,1
2021-10-28 12:08:36,94042,1576,like,0
2021-10-28 12:08:38,94042,4331,view,0
2021-10-28 12:09:17,94042,1866,view,0
2021-10-28 12:11:03,94042,5587,view,1
2021-10-28 12:11:53,94042,5587,like,0
2021-10-28 12:11:55,94042,949,view,0
2021-10-28 12:13:56,94042,4332,view,0
2021-10-28 12:15:03,94042,2321,view,0
2021-10-28 12:16:14,94042,3850,view,0
2021-10-28 12:17:45,94042,961,view,0
2021-10-28 12:20:06,94042,1701,view,0
2021-10-28 12:20:19,94042,138,view,0
2021-10-28 12:20:55,94042,5765,view,0
2021-10-28 12:21:48,94042,5550,view,0
2021-10-28 12:23:03,94042,3011,view,0
2021-10-28 12:23:28,94042,4402,view,0
2021-10-28 12:23:50,94042,4692,view,0
2021-10-28 12:25:15,94042,5088,view,0
2021-10-28 12:27:35,94042,70,view,0
2021-10-28 12:28:19,94042,50,view,0
2021-10-28 12:29:32,94042,1672,view,0
2021-11-01 09:18:28,94042,3399,view,0
2021-11-01 09:21:04,94042,6024,view,0
2021-11-01 09:22:47,94042,1299,view,0
2021-11-01 09:25:01,94042,1226,view,1
2021-11-01 09:26:17,94042,1226,like,0
2021-11-01 09:26:19,94042,994,view,0
2021-11-01 09:29:10,94042,1413,view,0
2021-11-01 09:30:43,94042,4165,view,1
2021-11-01 09:33:20,94042,4165,like,0
2021-11-01 09:33:22,94042,1635,view,0
2021-11-01 09:35:40,94042,2492,view,0
2021-11-01 09:37:27,94042,1381,view,0
2021-11-01 09:37:44,94042,1097,view,0
2021-11-01 09:38:54,94042,5424,view,1
2021-11-01 09:40:11,94042,5424,like,0
2021-11-01 09:40:13,94042,4273,view,0
2021-11-01 09:41:25,94042,1588,view,0
2021-11-01 09:42:32,94042,4833,view,0
2021-11-01 09:43:04,94042,1244,view,0
2021-11-01 09:45:35,94042,1221,view,0
2021-11-01 09:48:07,94042,329,view,0
2021-11-01 09:50:41,94042,2141,view,0
2021-11-01 09:50:53,94042,2297,view,0
2021-11-01 09:53:08,94042,5746,view,0
2021-11-01 09:54:06,94042,4123,view,0
2021-11-01 09:54:55,94042,6494,view,0
2021-11-01 09:57:04,94042,6373,view,0
2021-11-01 09:57:25,94042,6882,view,0
2021-11-01 09:59:30,94042,3067,view,0
2021-11-01 10:00:50,94042,5602,view,0
2021-11-01 10:01:41,94042,3522,view,0
2021-11-02 06:31:46,94042,1261,view,0
2021-11-02 06:34:12,94042,1567,view,0
2021-11-02 06:35:03,94042,1420,view,0
2021-11-02 06:36:45,94042,1480,view,0
2021-11-02 06:37:30,94042,4955,view,0
2021-11-02 06:39:13,94042,1211,view,0
2021-11-02 06:39:55,94042,4395,view,0
2021-11-02 06:41:25,94042,6209,view,0
2021-11-02 06:42:29,94042,3739,view,0
2021-11-02 06:45:23,94042,962,view,1
2021-11-02 06:45:58,94042,962,like,0
2021-11-02 06:46:00,94042,1645,view,0
2021-11-06 18:53:12,149679,1023,view,0
2021-11-06 18:55:04,149679,2557,view,0
2021-11-06 18:57:02,149679,940,view,0
2021-11-06 18:58:38,149679,3607,view,0
2021-11-15 20:19:15,149679,2263,view,1
2021-11-15 20:20:04,149679,2263,like,0
2021-11-15 20:20:06,149679,5891,view,0
2021-11-15 20:22:09,149679,3526,view,0
2021-11-15 20:22:57,149679,6790,view,1
2021-11-15 20:25:03,149679,6790,like,0
2021-11-15 20:25:05,149679,2958,view,1
2021-11-15 20:25:57,149679,2958,like,0
2021-11-15 20:25:59,149679,1470,view,0
2021-11-15 20:26:58,149679,1994,view,0
2021-11-15 20:28:37,149679,3528,view,1
2021-11-15 20:28:56,149679,3528,like,0
2021-11-15 20:28:58,149679,2717,view,0
2021-11-15 20:30:00,149679,3149,view,0
2021-11-15 20:32:21,149679,4411,view,0
2021-11-15 20:32:49,149679,3317,view,1
2021-11-15 20:33:46,149679,3317,like,0
2021-11-15 20:33:48,149679,311,view,0
2021-11-15 20:34:15,149679,6190,view,0
2021-11-15 20:34:45,149679,3883,view,1
2021-11-15 20:35:24,149679,3883,like,0
2021-11-15 20:35:26,149679,643,view,0
2021-11-15 20:37:30,149679,5700,view,1
2021-11-15 20:39:54,149679,5700,like,0
2021-11-15 20:39:56,149679,5810,view,0
2021-11-15 20:42:46,149679,942,view,0
2021-11-15 20:45:25,149679,1755,view,0
2021-11-15 20:47:47,149679,3163,view,1
2021-11-15 20:48:34,149679,3163,like,0
2021-11-15 20:48:36,149679,199,view,0
2021-11-15 20:49:44,149679,1094,view,0
2021-11-15 20:51:25,149679,1258,view,0
2021-11-15 20:52:45,149679,1649,view,0
2021-11-15 20:55:11,149679,1135,view,0
2021-11-15 20:58:07,149679,1109,view,1
2021-11-15 21:00:54,149679,1109,like,0
2021-11-15 21:00:56,149679,1667,view,0
2021-11-27 20:04:12,149679,4854,view,0
2021-11-27 20:04:58,149679,5090,view,0
2021-11-27 20:05:12,149679,3509,view,0
2021-11-27 20:08:09,149679,753,view,1
2021-11-27 20:10:41,149679,753,like,0
2021-11-27 20:10:43,149679,2541,view,1
2021-11-27 20:11:33,149679,2541,like,0
